key,0,1,2,3,4,5,6,7,8,9
51,"艾欧泽亚神话：比尔格","艾欧泽亚神话","无","无","无","艾欧泽亚神话","艾欧泽亚神话","艾欧泽亚神话",2258,"艾欧泽亚神话：比尔格"
52,"艾欧泽亚神话：拉尔戈","艾欧泽亚神话","无","无","无","艾欧泽亚神话","艾欧泽亚神话","艾欧泽亚神话",2259,"艾欧泽亚神话：拉尔戈"
53,"艾欧泽亚神话：阿泽玛","艾欧泽亚神话","无","无","无","艾欧泽亚神话","艾欧泽亚神话","艾欧泽亚神话",2260,"艾欧泽亚神话：阿泽玛"
54,"艾欧泽亚神话：纳尔札尔","艾欧泽亚神话","无","无","无","艾欧泽亚神话","艾欧泽亚神话","艾欧泽亚神话",2261,"艾欧泽亚神话：纳尔札尔"
55,"艾欧泽亚神话：诺菲卡","艾欧泽亚神话","无","无","无","艾欧泽亚神话","艾欧泽亚神话","艾欧泽亚神话",2262,"艾欧泽亚神话：诺菲卡"
56,"艾欧泽亚神话：阿尔基克","艾欧泽亚神话","无","无","无","艾欧泽亚神话","艾欧泽亚神话","艾欧泽亚神话",2263,"艾欧泽亚神话：阿尔基克"
57,"なし","无","无","无","无","无","无","无",0,""
58,"白色","无","无","无","多变迷宫：阿罗阿罗岛","多变迷宫：阿罗阿罗岛","无","无",2402,"多变迷宫：阿罗阿罗岛"
59,"天书奇谈","天书奇谈","无","天书奇谈","无","天书奇谈","天书奇谈","天书奇谈",2600,"天书奇谈"
60,"幻巧拼图","幻巧拼图","无","幻巧拼图","无","幻巧拼图","幻巧拼图","幻巧拼图",2601,"幻巧拼图"
61,"金碟巨豆中心1","金碟巨豆中心1","无","金碟巨豆中心1","无","无","无","无",2700,"金碟巨豆中心1"
62,"金碟巨豆中心2","金碟巨豆中心2","无","金碟巨豆中心2","无","无","无","无",2701,"金碟巨豆中心2"
63,"金碟巨豆中心3","金碟巨豆中心3","无","金碟巨豆中心3","无","无","无","无",2702,"金碟巨豆中心3"
64,"なし","无","无","无","无","无","无","无",0,""
65,"なし","无","无","无","无","无","无","无",0,""
66,"なし","无","无","无","无","无","无","无",0,""
67,"なし","无","无","无","无","无","无","无",0,""
68,"なし","无","无","无","无","无","无","无",0,""
69,"なし","无","无","无","无","无","无","无",0,""
70,"なし","无","无","无","无","无","无","无",0,""
